,artist,track,album
0,Miguel,Sure Thing,All I Want Is You
1,Mac Miller,The Spins,K.I.D.S. (Deluxe)
2,Bruno Mars,Just the Way You Are,Doo-Wops & Hooligans
3,bôa,Duvet,Twilight
4,Waka Flocka Flame,No Hands (feat. Roscoe Dash & Wale),Flockaveli
5,Miguel,Girl With The Tattoo Enter.lewd,All I Want Is You
6,Zac Brown Band,Knee Deep (feat. Jimmy Buffett),You Get What You Give
7,Nicki Minaj,Super Bass,Pink Friday (Complete Edition)
8,Train,"Hey, Soul Sister","Save Me, San Francisco (Golden Gate Edition)"
9,Kanye West,Devil In A New Dress,My Beautiful Dark Twisted Fantasy
10,Bruno Mars,Grenade,Doo-Wops & Hooligans
11,Bruno Mars,Talking to the Moon,Doo-Wops & Hooligans
12,Kesha,TiK ToK,Animal (Expanded Edition)
13,Roar,I Can't Handle Change,I Can't Handle Change
14,Katy Perry,Last Friday Night (T.G.I.F.),Teenage Dream
15,Jason Aldean,Dirt Road Anthem,My Kinda Party
16,Rihanna,Only Girl (In The World),Loud (Japan Version)
17,Patrick Watson,Je te laisserai des mots,Je te laisserai des mots
18,Kanye West,Runaway,My Beautiful Dark Twisted Fantasy
19,Kanye West,All Of The Lights,My Beautiful Dark Twisted Fantasy
20,Dr. Dog,Where'd All the Time Go?,"Shame, Shame (Deluxe Edition)"
21,Don Omar,Danza Kuduro,Meet The Orphans
22,Eminem,Love The Way You Lie,Recovery
23,Taylor Swift,Enchanted,Speak Now
24,Roar,Christmas Kids,I Can't Handle Change
25,Katy Perry,Teenage Dream,Teenage Dream
26,Rihanna,S&M,Loud (Japan Version)
27,USHER,DJ Got Us Fallin' In Love (feat. Pitbull),Raymond v Raymond (Expanded Edition)
28,Kanye West,POWER,My Beautiful Dark Twisted Fantasy
29,Two Door Cinema Club,What You Know,Tourist History
30,Justin Bieber,Baby,My World 2.0
31,Bruno Mars,Marry You,Doo-Wops & Hooligans
32,Maroon 5,"Moves Like Jagger - Studio Recording From ""The Voice"" Performance",Hands All Over
33,Drake,Over,Thank Me Later
34,P!nk,Raise Your Glass,Raise Your Glass
35,Katy Perry,California Gurls,Teenage Dream
36,Mike Posner,Cooler Than Me - Single Mix,31 Minutes to Takeoff
37,Drake,Fancy,Thank Me Later
38,Trey Songz,Bottoms Up (feat. Nicki Minaj),"Passion, Pain & Pleasure (Deluxe Version)"
39,Neon Trees,Animal,Habits
40,B.o.B,Nothin' on You (feat. Bruno Mars),B.o.B Presents: The Adventures of Bobby Ray
41,Plan B,Es un Secreto,House Of Pleasure
42,Miguel,All I Want Is You (feat. J. Cole),All I Want Is You
43,Kid Cudi,Mr. Rager,Man On The Moon II: The Legend Of Mr. Rager
44,Katy Perry,The One That Got Away,Teenage Dream
45,Bruno Mars,Runaway Baby,Doo-Wops & Hooligans
46,Far East Movement,Like A G6,Free Wired
47,Black Eyed Peas,Just Can’t Get Enough,The Beginning
48,USHER,OMG (feat. will.i.am),Raymond v Raymond (Expanded Edition)
49,Bruno Mars,The Lazy Song,Doo-Wops & Hooligans
